team,P(R32),P(R16),P(QF),P(SF),P(F),P(Cup)
France,1.0,1.0,1.0,1.0,0.5535,0.317
Argentina,1.0,1.0,1.0,0.7487,0.5043,0.2676
Spain,1.0,1.0,1.0,0.7274,0.3712,0.2149
England,1.0,1.0,1.0,0.6391,0.2806,0.1114
Norway,1.0,1.0,1.0,0.3609,0.1105,0.0323
Switzerland,1.0,1.0,1.0,0.2513,0.1046,0.0315
Belgium,1.0,1.0,1.0,0.2726,0.0753,0.0253
South Africa,1.0,0.0,0.0,0.0,0.0,0.0
Japan,1.0,0.0,0.0,0.0,0.0,0.0
Brazil,1.0,1.0,0.0,0.0,0.0,0.0
Morocco,1.0,1.0,1.0,0.0,0.0,0.0
Sweden,1.0,0.0,0.0,0.0,0.0,0.0
Netherlands,1.0,0.0,0.0,0.0,0.0,0.0
Canada,1.0,1.0,0.0,0.0,0.0,0.0
Germany,1.0,0.0,0.0,0.0,0.0,0.0
Paraguay,1.0,1.0,0.0,0.0,0.0,0.0
DR Congo,1.0,0.0,0.0,0.0,0.0,0.0
Ecuador,1.0,0.0,0.0,0.0,0.0,0.0
Mexico,1.0,1.0,0.0,0.0,0.0,0.0
Ivory Coast,1.0,0.0,0.0,0.0,0.0,0.0
Senegal,1.0,0.0,0.0,0.0,0.0,0.0
Portugal,1.0,1.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,1.0,0.0,0.0,0.0,0.0,0.0
United States,1.0,1.0,0.0,0.0,0.0,0.0
Austria,1.0,0.0,0.0,0.0,0.0,0.0
Croatia,1.0,0.0,0.0,0.0,0.0,0.0
Algeria,1.0,0.0,0.0,0.0,0.0,0.0
Cape Verde,1.0,0.0,0.0,0.0,0.0,0.0
Colombia,1.0,1.0,0.0,0.0,0.0,0.0
Ghana,1.0,0.0,0.0,0.0,0.0,0.0
Australia,1.0,0.0,0.0,0.0,0.0,0.0
Egypt,1.0,1.0,0.0,0.0,0.0,0.0
